ma_truong,ten_truong,ma_nganh,ten_nganh,to_hop_xet_tuyen,diem_chuan,hoc_phi,nam_tuyen_sinh,phuong_thuc_khac,mo_ta_nganh,chuong_trinh_dao_tao,co_hoi_nghe_nghiep,nhom_nganh
DTZ,Đại học Khoa Học - Đại học Thái Nguyên,7460101_TV,Toán học (CTĐT hướng giảng dạy),A00; A05; A06; A08; A11; B00; D01; D07; D08; D84,19.5,,2025,,"Ngành Toán Học đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTZ,Đại học Khoa Học - Đại học Thái Nguyên,7310612,Trung Quốc học,C00; C03; C04; C14; C19; C20; D01; D04; D10; D66,19.45,,2025,,"Ngành Trung Quốc Học đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTZ,Đại học Khoa Học - Đại học Thái Nguyên,7229030,Văn học,C00; C03; C04; C14; C19; C20; D01; D10; D66; D84,19.15,,2025,,"Ngành Văn Học đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTZ,Đại học Khoa Học - Đại học Thái Nguyên,7220112,Văn hoá các dân tộc thiểu số Việt Nam,C00; C03; C04; C14; C19; C20; D01; D10; D66; D84,16,,2025,,"Ngành đào tạo chuyên sâu thuộc nhóm ngành Nhân văn, trang bị nền tảng lý thuyết và kỹ năng thực hành hiện đại đáp ứng nhu cầu doanh nghiệp.","Thời gian đào tạo 4 năm (130 tín chỉ). Gồm: Ngữ âm - Âm vị học, Cú pháp học, Lý thuyết dịch thuật, Biên dịch nâng cao, Phiên dịch hội thảo, Tiếng Anh thương mại.","Biên phiên dịch viên, Chuyên viên truyền thông quốc tế, Chuyên viên quan hệ công chúng, Giảng viên tiếng Anh, Chuyên viên điều phối tại các tổ chức phi chính phủ (NGOs).",Nhân văn
DTZ,Đại học Khoa Học - Đại học Thái Nguyên,7440102,Vật lý học,A00; A01; A02; A03; A04; A10; C01,19.5,,2025,,"Ngành Vật Lý Học đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTZ,Đại học Khoa Học - Đại học Thái Nguyên,7310630,Việt Nam học,C00; C03; C04; C14; C19; C20; D01; D10; D66; D84,16,,2025,,"Ngành Việt Nam Học đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7850201,Bảo hộ lao động,A00; A01; B00; B03; B08; C01; C02; D07,55.95,,2026,,"Ngành Bảo Hộ Lao Động đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,FA7420201,Công nghệ sinh học - Chất lượng cao giảng dạy 100% tiếng Anh,A00; A01; A02; B00; B03; B08; C01; C02; D01; D07; D08; X10; X11; X14; X15; X16,52,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy 100% Tiếng Anh.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,F7420201,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,B00; B03; C02; X14; X15,53.5,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy Bằng Tiếng Anh - Việt.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7420201,Công nghệ sinh học,B00; B03; C02; X14; X15,56.5,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7760101,Công tác xã hội,C00; C01,67.8,,2026,,"Ngành Công Tác Xã Hội đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,F7420201,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,D01,52.75,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy Bằng Tiếng Anh - Việt.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,F7420201,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,A00; A02; C01,53,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy Bằng Tiếng Anh - Việt.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7760101,Công tác xã hội,C02; C03,68.3,,2026,,"Ngành Công Tác Xã Hội đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7420201,Công nghệ sinh học,D01,55.75,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7420201,Công nghệ sinh học,A00; A02; C01,56,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,F7420201,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,D07,52.5,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy Bằng Tiếng Anh - Việt.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,F7420201,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,X16,54,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy Bằng Tiếng Anh - Việt.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7760101,Công tác xã hội,C04; D01,66.8,,2026,,"Ngành Công Tác Xã Hội đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7760101,Công tác xã hội,D14,67.05,,2026,,"Ngành Công Tác Xã Hội đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7420201,Công nghệ sinh học,X11; X16,57,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,D7420201,Công nghệ sinh học- CT dự bị đh bằng tiếng anh,A00; A01; A02; B00; B03; B08; C01; C02; D01; D07; D08; X10; X11; X14; X15; X16,52,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học- Ct Dự Bị Đh Bằng Tiếng Anh.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,F7420201,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,A01; B08,52,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học - Chất Lượng Cao Giảng Dạy Bằng Tiếng Anh - Việt.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7420201,Công nghệ sinh học,A01; B08,55,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7420201,Công nghệ sinh học,D07,55.5,,2026,,"Trang bị nền tảng khoa học máy tính, kỹ thuật lập trình, thuật toán và phát triển ứng dụng công nghệ trong lĩnh vực Công Nghệ Sinh Học.","Thời gian đào tạo 4-4.5 năm (135-150 tín chỉ) với trọng tâm thực hành đồ án, kiến trúc hệ thống, an ninh thông tin và thực tập doanh nghiệp công nghệ.","Kỹ sư phần mềm, chuyên viên phân tích hệ thống, kỹ sư dữ liệu, quản trị mạng và chuyên viên bảo mật tại các tập đoàn công nghệ toàn cầu.",Máy tính và công nghệ thông tin
DTT,Đại học Tôn Đức Thắng,7460112,ĐH Toán ứng dụng,D07; X26,71.8,,2026,,"Ngành Đh Toán Ứng Dụng đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7460112,ĐH Toán ứng dụng,C01,72.05,,2026,,"Ngành Đh Toán Ứng Dụng đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7460112,ĐH Toán ứng dụng,D01,71.9,,2026,,"Ngành Đh Toán Ứng Dụng đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7460112,ĐH Toán ứng dụng,A01,70.8,,2026,,"Ngành Đh Toán Ứng Dụng đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7460112,ĐH Toán ứng dụng,A00; X06,72.3,,2026,,"Ngành Đh Toán Ứng Dụng đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101,Du lịch,D14,71.95,,2026,,"Ngành Du Lịch đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101H,Du lịch - học tại khu Hòa An,C04; D01,70.92,,2026,,"Ngành Du Lịch - Học Tại Khu Hòa An đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101,Du lịch,C02; C03,73.2,,2026,,"Ngành Du Lịch đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101H,Du lịch - học tại khu Hòa An,D14,71.17,,2026,,"Ngành Du Lịch - Học Tại Khu Hòa An đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101,Du lịch,C00; C01,72.7,,2026,,"Ngành Du Lịch đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101H,Du lịch - học tại khu Hòa An,C02; C03,72.42,,2026,,"Ngành Du Lịch - Học Tại Khu Hòa An đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101H,Du lịch - học tại khu Hòa An,C00; C01,71.92,,2026,,"Ngành Du Lịch - Học Tại Khu Hòa An đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7810101,Du lịch,C04; D01,71.7,,2026,,"Ngành Du Lịch đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
DTT,Đại học Tôn Đức Thắng,7720201,Dược học,A00,65.75,,2026,,"Trang bị kiến thức khoa học về thuốc, bào chế dược phẩm, dược lâm sàng, kiểm nghiệm thuốc và quản trị kinh doanh dược phẩm.","Thời gian đào tạo 5 năm (khoảng 160 tín chỉ). Gồm: Hóa dược, Dược liệu, Bào chế và sinh dược học, Dược lý học, Dược lâm sàng, Quản lý và kinh tế dược.","Dược sĩ lâm sàng tại bệnh viện, Kỹ sư nghiên cứu bào chế thuốc (R&D Dược), Chuyên viên kiểm nghiệm thuốc, Quản lý sản xuất tại nhà máy dược phẩm chuẩn GMP.",Sức khỏe
DTT,Đại học Tôn Đức Thắng,7720201,Dược học,A01; A02; B08; D07,65,,2026,,"Trang bị kiến thức khoa học về thuốc, bào chế dược phẩm, dược lâm sàng, kiểm nghiệm thuốc và quản trị kinh doanh dược phẩm.","Thời gian đào tạo 5 năm (khoảng 160 tín chỉ). Gồm: Hóa dược, Dược liệu, Bào chế và sinh dược học, Dược lý học, Dược lâm sàng, Quản lý và kinh tế dược.","Dược sĩ lâm sàng tại bệnh viện, Kỹ sư nghiên cứu bào chế thuốc (R&D Dược), Chuyên viên kiểm nghiệm thuốc, Quản lý sản xuất tại nhà máy dược phẩm chuẩn GMP.",Sức khỏe
DTT,Đại học Tôn Đức Thắng,7720201,Dược học,C02,66.25,,2026,,"Trang bị kiến thức khoa học về thuốc, bào chế dược phẩm, dược lâm sàng, kiểm nghiệm thuốc và quản trị kinh doanh dược phẩm.","Thời gian đào tạo 5 năm (khoảng 160 tín chỉ). Gồm: Hóa dược, Dược liệu, Bào chế và sinh dược học, Dược lý học, Dược lâm sàng, Quản lý và kinh tế dược.","Dược sĩ lâm sàng tại bệnh viện, Kỹ sư nghiên cứu bào chế thuốc (R&D Dược), Chuyên viên kiểm nghiệm thuốc, Quản lý sản xuất tại nhà máy dược phẩm chuẩn GMP.",Sức khỏe
DTT,Đại học Tôn Đức Thắng,7720201,Dược học,B00; B03; C01,66,,2026,,"Trang bị kiến thức khoa học về thuốc, bào chế dược phẩm, dược lâm sàng, kiểm nghiệm thuốc và quản trị kinh doanh dược phẩm.","Thời gian đào tạo 5 năm (khoảng 160 tín chỉ). Gồm: Hóa dược, Dược liệu, Bào chế và sinh dược học, Dược lý học, Dược lâm sàng, Quản lý và kinh tế dược.","Dược sĩ lâm sàng tại bệnh viện, Kỹ sư nghiên cứu bào chế thuốc (R&D Dược), Chuyên viên kiểm nghiệm thuốc, Quản lý sản xuất tại nhà máy dược phẩm chuẩn GMP.",Sức khỏe
